,Primacy Agency,PWSID,PWS Name,Reported System Size,Service Lines,1. Service lines that contain any lead pipe,2. Service lines that do not contain any lead pipe but have lead connectors,3a. Service lines that contain galvanized pipe and were previously downstream from a lead source,3b. Service lines that contain galvanized pipe that have never been downstream from any lead source,4a. Service lines that do not contain any lead pipe or galvanized pipe and that do not have lead connectors,4b. Service lines for which the material makeup of the service line and of the connector are not known,Not reported,Total,COUNTY_FIPS,STATE_FIPS,FIPS
853,IA,IA0690301,CLOVER RIDGE SUBDIVISION,Small,148,0,0.0,0,0,148.0,0,0,148,690,19,19690
854,IA,IA0690304,TERRY WATER ASSOCIATION,Small,10,0,0.0,0,0,10.0,0,0,10,690,19,19690
855,IA,IA0709084,CEDAR FALLS MUNICIPAL WATER UTILITIES,Medium,15823,3,0.0,22,0,11616.0,4182,0,15823,709,19,19709
856,IA,IA0790074,WATERLOO WATER WORKS,Medium,33918,0,5763.0,0,0,28155.0,0,0,33918,790,19,19790
857,IA,IA0819033,BOONE WATER WORKS,Medium,5343,1500,100.0,130,0,3500.0,113,0,5343,819,19,19819
858,IA,IA0990701,IA REGIONAL UTILITIES ASSOC (WAVERLY),Medium,15128,0,0.0,0,0,0.0,15128,0,15128,990,19,19990
859,IA,IA1178097,STORM LAKE WATER TREATMENT PLANT,Medium,4196,0,0.0,32,0,1402.0,2762,0,4196,178,19,19178
860,IA,IA1415072,CARROLL MUNICIPAL WATER SUPPLY,Medium,4865,191,2.0,161,17,4195.0,299,0,4865,415,19,19415
861,IA,IA1509074,ATLANTIC MUNICIPAL UTILITIES,Medium,3354,0,0.0,0,0,0.0,3354,0,3354,509,19,19509
862,IA,IA1750048,MASON CITY WATER DEPARTMENT,Medium,11884,1800,0.0,271,0,9694.0,119,0,11884,750,19,19750
863,IA,IA1811020,CHEROKEE WATER SUPPLY - PLANT 1,Medium,2287,572,0.0,0,0,1715.0,0,0,2287,811,19,19811
864,IA,IA2100701,IOWA LAKES REGIONAL WATER,Medium,2506,0,0.0,0,0,2506.0,0,0,2506,100,19,19100
865,IA,IA2171071,SPENCER MUNICIPAL WATER UTILITY,Medium,4880,94,0.0,35,0,1942.0,2809,0,4880,171,19,19171
866,IA,IA2326048,IOWA-AMERICAN WTR CO-CLINTON DISTRICT,Medium,10130,1446,2.0,0,0,8477.0,205,0,10130,326,19,19326
867,IA,IA2424027,DENISON WATER SUPPLY,Medium,2934,0,600.0,254,30,2000.0,50,0,2934,424,19,19424
868,IA,IA2424701,W CENTRAL RWA - DENISON SUBSYS,Medium,971,0,0.0,0,0,971.0,0,0,971,424,19,19424
869,IA,IA2573080,WAUKEE WATER SUPPLY,Medium,8417,0,0.0,0,0,8417.0,0,0,8417,573,19,19573
870,IA,IA2573701,XENIA RWD (DES MOINES),Medium,4262,0,0.0,0,214,3922.0,126,0,4262,573,19,19573
871,IA,IA2576705,XENIA RWD (WOODWARD),Medium,1351,0,0.0,0,68,1213.0,70,0,1351,576,19,19576
872,IA,IA2909053,BURLINGTON MUNICIPAL WATERWORKS,Medium,12309,68,0.0,866,0,10919.0,456,0,12309,909,19,19909
873,IA,IA3050079,MILFORD MUNICIPAL UTILITIES,Medium,2300,0,0.0,0,0,0.0,2300,0,2300,050,19,19050
874,IA,IA3070078,SPIRIT LAKE WATERWORKS,Medium,2500,100,0.0,15,5,2000.0,380,0,2500,070,19,19070
875,IA,IA3126052,DUBUQUE WATER WORKS,Medium,23789,5559,0.0,0,6,18224.0,0,0,23789,126,19,19126
876,IA,IA3130091,DYERSVILLE MUNICIPAL WATER CO,Medium,2111,5,10.0,20,30,2032.0,14,0,2111,130,19,19130
877,IA,IA3218024,ESTHERVILLE WATER TREATMENT PLANT,Medium,2800,0,0.0,0,0,0.0,2800,0,2800,218,19,19218
878,IA,IA4453016,MOUNT PLEASANT MUNICIPAL UTILITIES,Medium,3854,0,0.0,0,0,3694.0,160,0,3854,453,19,19453
879,IA,IA4453901,RATHBUN REGIONAL WATER (MOUNT PLEASANT),Medium,550,0,0.0,0,0,550.0,0,0,550,453,19,19453
880,IA,IA4641064,HUMBOLDT MUNICIPAL WATER DEPT,Medium,2118,0,0.0,0,423,654.0,1041,0,2118,641,19,19641
881,IA,IA5059064,NEWTON WATER SUPPLY,Medium,7131,50,300.0,300,650,3831.0,2000,0,7131,059,19,19059
882,IA,IA5131033,FAIRFIELD WATER SUPPLY,Medium,4804,0,0.0,0,0,296.0,4508,0,4804,131,19,19131
883,IA,IA5208071,CORALVILLE MUNI WATER SYSTEM,Medium,8500,0,0.0,0,75,8375.0,50,0,8500,208,19,19208
884,IA,IA5208600,WESTERN HILLS (MOBILE) ESTATES,Small,285,0,0.0,0,0,285.0,0,0,285,208,19,19208
885,IA,IA5225079,IOWA CITY WATER DIVISION,Medium,28001,68,0.0,0,0,10616.0,17317,0,28001,225,19,19225
886,IA,IA5225101,UNIVERSITY WATER SYSTEM,Medium,156,0,0.0,0,0,61.0,95,0,156,225,19,19225
887,IA,IA5225305,CHERRY HILLS SUBDIVISION,Small,19,0,0.0,0,0,19.0,0,0,19,225,19,19225
888,IA,IA5225315,"LAKE RIDGE, INCORPORATED",Small,430,0,0.0,0,0,0.0,430,0,430,225,19,19225
889,IA,IA5225386,FAR HORIZONS SUBDIVISION,Small,25,0,0.0,0,0,0.0,25,0,25,225,19,19225
890,IA,IA5225572,KINDERFARM PRESCHOOL,Small,2,0,0.0,0,0,2.0,0,0,2,225,19,19225
891,IA,IA5252072,NORTH LIBERTY WATER SUPPLY,Medium,8891,0,0.0,0,39,1426.0,7426,0,8891,252,19,19252
892,IA,IA5280302,INDIAN HILLS HOME OWNERS ASSOCIATION,Small,27,0,0.0,0,0,27.0,0,0,27,280,19,19280
893,IA,IA5282304,ORCHARD VIEW ESTATES,Small,31,0,0.0,0,0,31.0,0,0,31,282,19,19282
894,IA,IA5625062,FT MADISON MUNI WATER WORKS,Medium,4474,60,20.0,1294,0,1400.0,1700,0,4474,625,19,19625
895,IA,IA5640019,KEOKUK MUNICIPAL WATER WORKS,Medium,4063,254,0.0,0,0,0.0,3809,0,4063,640,19,19640
896,IA,IA5715093,CEDAR RAPIDS WATER DEPARTMENT,Large,1000,1000,0.0,0,0,0.0,0,0,1000,715,19,19715
897,IA,IA5751035,MARION MUNICIPAL WATER DEPT,Medium,14019,25,100.0,50,150,13594.0,100,0,14019,751,19,19751
898,IA,IA5758801,MOUNT VERNON COMMUNITY BIBLE CHURCH,Small,1,0,0.0,0,0,1.0,0,0,1,758,19,19758
899,IA,IA6273005,OSKALOOSA MUNICIPAL WATER DEPT,Medium,4879,986,0.0,243,0,600.0,3050,0,4879,273,19,19273
900,IA,IA6273901,"MAHASKA RURAL WATER SYSTEM, INC.",Medium,3462,0,0.0,0,200,3262.0,0,0,3462,273,19,19273
901,IA,IA6342036,KNOXVILLE WATER WORKS,Medium,6236,3118,0.0,0,0,2850.0,268,0,6236,342,19,19342
902,IA,IA6368033,PELLA WATER WORKS DEPARTMENT,Medium,4059,18,42.0,0,0,0.0,3999,0,4059,368,19,19368
903,IA,IA6469042,MARSHALLTOWN WATER WORKS,Medium,9776,0,0.0,0,0,0.0,9776,0,9776,469,19,19469
904,IA,IA6525090,GLENWOOD MUNICIPAL UTILITIES,Medium,2550,0,0.0,0,0,2300.0,250,0,2550,525,19,19525
905,IA,IA7048001,MUSCATINE POWER & WATER,Medium,9735,103,0.0,0,413,5425.0,3794,0,9735,048,19,19048
906,IA,IA7048951,WILD CAT DEN STATE PARK WELL-1,Small,3,0,0.0,0,0,3.0,0,0,3,048,19,19048
907,IA,IA7227701,OSCEOLA RURAL WATER SYSTEM-NORTH,Medium,1896,0,0.0,0,0,1896.0,0,0,1896,227,19,19227
908,IA,IA7709053,"ANKENY, CITY OF",Medium,25330,0,0.0,0,0,25330.0,0,0,25330,709,19,19709
909,IA,IA7720051,CLIVE WATER DEPARTMENT,Medium,6280,0,0.0,0,0,6280.0,0,0,6280,720,19,19720
910,IA,IA7727031,DES MOINES WATER WORKS,Large,107812,20510,0.0,0,0,71410.0,15892,0,107812,727,19,19727
911,IA,IA7736011,GRIMES WATER SUPPLY,Medium,5095,88,0.0,0,0,0.0,5007,0,5095,736,19,19736
912,IA,IA7740011,JOHNSTON MUNICIPAL WATER SUPPLY,Medium,7564,0,0.0,0,0,0.0,0,7564,7564,740,19,19740
913,IA,IA7780042,URBANDALE WATER UTILITY,Medium,16568,0,0.0,0,828,15740.0,0,0,16568,780,19,19780
914,IA,IA7785007,WEST DES MOINES WATER WORKS,Medium,26975,0,0.0,0,270,26705.0,0,0,26975,785,19,19785
915,IA,IA7812079,CARTER LAKE WATER DISTRICT,Medium,1285,0,0.0,0,0,0.0,1285,0,1285,812,19,19812
916,IA,IA7820080,COUNCIL BLUFFS WATER WORKS,Medium,22374,2919,0.0,0,0,11187.0,8268,0,22374,820,19,19820
917,IA,IA7930008,GRINNELL WATER DEPARTMENT,Medium,3600,0,0.0,0,0,0.0,0,3600,3600,930,19,19930
918,IA,IA8080701,SIRWA #2 (CRESTON),Medium,9547,0,100.0,0,0,9447.0,0,0,9547,080,19,19080
919,IA,IA8222001,IOWA-AMERICAN WTR CO-DAVENPORT,Large,56071,10330,3.0,1,0,43153.0,2584,0,56071,222,19,19222
920,IA,IA8300184,REGIONAL WATER,Medium,1653,0,0.0,0,0,1521.0,132,0,1653,300,19,19300
921,IA,IA8503039,AMES WATER TREATMENT PLANT,Medium,19178,226,0.0,0,0,18438.0,514,0,19178,503,19,19503
922,IA,IA8503528,ISU,Medium,103,0,0.0,0,0,0.0,0,103,103,503,19,19503
923,IA,IA8670701,POWESHIEK WATER ASSOCIATION,Medium,5623,0,0.0,0,0,5567.0,56,0,5623,670,19,19670
924,IA,IA8816089,CRESTON WATER SUPPLY,Medium,246,246,0.0,0,0,0.0,0,0,246,816,19,19816
925,IA,IA9000742,WAPELLO RURAL WATER ASSOC.,Medium,7401,0,0.0,0,0,7401.0,0,0,7401,000,19,19000
926,IA,IA9083012,OTTUMWA WATER WORKS,Medium,10408,5,1305.0,215,0,8228.0,655,0,10408,083,19,19083
927,IA,IA9133075,INDIANOLA WATER SUPPLY,Medium,5902,0,0.0,0,0,5502.0,400,0,5902,133,19,19133
928,IA,IA9133701,WARREN WATER DISTRICT,Medium,7634,0,0.0,0,0,7019.0,615,0,7634,133,19,19133
929,IA,IA9433050,FORT DODGE WATER SUPPLY,Medium,11136,148,0.0,0,0,0.0,10988,0,11136,433,19,19433
930,IA,IA9774033,SERGEANT BLUFF WATER SUPPLY,Medium,1811,12,12.0,6,0,1500.0,281,0,1811,774,19,19774
931,IA,IA9778054,SIOUX CITY WATER SUPPLY,Large,29482,150,0.0,0,0,22100.0,7232,0,29482,778,19,19778
932,IA,IA9926096,EAGLE GROVE WATER SUPPLY,Medium,1594,0,320.0,0,0,1274.0,0,0,1594,926,19,19926
933,ID,ID1090083,LUBY BAY WATER SYSTEM,Small,18,0,0.0,0,0,0.0,18,0,18,090,16,16090
934,ID,ID1090121,SANDPOINT PUBLIC WORKS DEPT,Medium,4675,0,0.0,0,0,0.0,0,4675,4675,090,16,16090
935,ID,ID1280053,COEUR D ALENE CITY OF,Medium,19655,0,0.0,0,3452,15782.0,421,0,19655,280,16,16280
936,ID,ID2290023,MOSCOW WATER DEPT,Medium,6153,0,0.0,0,500,5000.0,653,0,6153,290,16,16290
937,ID,ID2310003,KAMIAH CITY OF,Small,556,0,0.0,0,50,506.0,0,0,556,310,16,16310
938,ID,ID2310005,NEZPERCE WATER DEPT,Small,284,0,0.0,0,0,71.0,213,0,284,310,16,16310
939,ID,ID2310006,REUBENS CITY OF,Small,23,0,0.0,0,0,23.0,0,0,23,310,16,16310
940,ID,ID2350003,CULDESAC CITY OF,Small,201,0,0.0,0,0,201.0,0,0,201,350,16,16350
941,ID,ID2350008,EATON MOBILE HOME COURT,Small,45,0,0.0,0,0,0.0,45,0,45,350,16,16350
942,ID,ID2350014,LEWISTON CITY OF,Medium,6048,0,0.0,0,0,0.0,0,6048,6048,350,16,16350
943,ID,ID2350023,PECK WATER SYSTEM,Small,105,0,0.0,0,0,105.0,0,0,105,350,16,16350
944,ID,ID2350025,RED ROCK WATER LLC,Small,27,0,0.0,0,0,27.0,0,0,27,350,16,16350
945,ID,ID2350030,WAHA GLEN WATER DIST,Small,39,0,0.0,0,5,0.0,34,0,39,350,16,16350
946,ID,ID2350036,COUGAR RIDGE WATER & SEWER,Small,69,0,0.0,0,0,69.0,0,0,69,350,16,16350
947,ID,ID2350038,EAGLES POINTE SUBDIVISION,Small,52,0,0.0,0,0,52.0,0,0,52,350,16,16350
948,ID,ID2350040,RED PHEASANT WATER COMPANY LLC,Small,152,0,0.0,0,0,152.0,0,0,152,350,16,16350
949,ID,ID2350042,VIEW POINT SUBDIVISION,Small,18,0,0.0,0,0,18.0,0,0,18,350,16,16350
950,ID,ID3140009,BELLE AIRE ACRES 2,Small,101,0,0.0,0,0,101.0,0,0,101,140,16,16140
951,ID,ID3140013,CALDWELL CITY OF,Medium,18843,0,300.0,0,0,18543.0,0,0,18843,140,16,16140
952,ID,ID3140056,LAKERIDGE SECOND SUBD,Small,16,0,0.0,0,0,16.0,0,0,16,140,16,16140
953,ID,ID3140080,NAMPA CITY OF,Medium,34585,4550,10607.0,0,0,0.0,19428,0,34585,140,16,16140
954,ID,ID3140092,D AND S PURPLE SAGE RANCHETTES,Small,23,0,0.0,0,0,23.0,0,0,23,140,16,16140
955,ID,ID3140111,SKYLINE WATER ASSN,Small,22,0,0.0,0,0,22.0,0,0,22,140,16,16140
956,ID,ID3140125,TWIN BRIDGES SUBD,Small,12,0,0.0,0,0,12.0,0,0,12,140,16,16140
957,ID,ID3140233,SILVER SPUR SUBDIVISION,Small,31,0,0.0,0,0,31.0,0,0,31,140,16,16140
958,ID,ID3230074,SHADOW BUTTE ELEMENTARY SCHOOL,Small,1,0,0.0,0,0,1.0,0,0,1,230,16,16230
959,ID,ID3380005,FRUITLAND CITY OF,Medium,4192,2096,0.0,0,3,1093.0,1000,0,4192,380,16,16380
960,ID,ID4010016,SUEZ,Large,76993,0,0.0,0,618,76375.0,0,0,76993,010,16,16010
961,ID,ID4010049,EAGLE WATER COMPANY INC,Medium,3959,0,0.0,0,0,0.0,0,3959,3959,010,16,16010
962,ID,ID4010085,KUNA CITY OF,Medium,8761,0,0.0,0,0,0.0,0,8761,8761,010,16,16010
963,ID,ID4010097,MERIDIAN WATER DEPT,Large,45081,0,0.0,0,1475,43237.0,369,0,45081,010,16,16010
964,ID,ID4010201,"EAGLE, CITY OF (EASTERN ZONE)",Medium,1372,0,0.0,0,0,1372.0,0,0,1372,010,16,16010
965,ID,ID4200032,MOUNTAIN HOME CITY OF,Medium,1000,100,0.0,0,200,500.0,200,0,1000,200,16,16200
966,ID,ID4430033,MCCALL CITY OF,Medium,3561,0,0.0,0,1830,1731.0,0,0,3561,430,16,16430
967,ID,ID5070028,KETCHUM CITY OF,Medium,1900,0,0.0,0,250,1650.0,0,0,1900,070,16,16070
968,ID,ID5420058,TWIN FALLS CITY OF,Medium,17800,0,0.0,0,0,0.0,0,17800,17800,420,16,16420
969,ID,ID6030008,CHUBBUCK CITY OF,Medium,4211,0,0.0,0,11,3000.0,1200,0,4211,030,16,16030
970,ID,ID6030043,POCATELLO CITY OF,Medium,100,0,0.0,0,21,0.0,79,0,100,030,16,16030
971,ID,ID6060007,BLACKFOOT CITY OF,Medium,3700,0,0.0,0,3700,0.0,0,0,3700,060,16,16060
972,ID,ID6390001,AMERICAN FALLS CITY OF,Medium,1579,0,40.0,0,250,1289.0,0,0,1579,390,16,16390
973,ID,ID7100004,AMMON CITY OF,Medium,5732,0,420.0,680,0,4632.0,0,0,5732,100,16,16100
974,ID,ID7100030,FALLS WATER COMPANY INC,Medium,5812,0,231.0,0,1311,4270.0,0,0,5812,100,16,16100
975,ID,ID7100039,IDAHO FALLS CITY OF,Medium,21545,0,5050.0,3000,0,13495.0,0,0,21545,100,16,16100
976,ID,ID7260032,RIGBY CITY OF,Medium,1600,0,0.0,0,800,500.0,300,0,1600,260,16,16260
977,IL,IL0070050,BELVIDERE,Medium,7414,0,0.0,0,0,0.0,0,7414,7414,070,17,17070
978,IL,IL0190450,MAHOMET,Medium,2586,0,0.0,0,12,2574.0,0,0,2586,190,17,17190
979,IL,IL0195300,IL AMERICAN-CHAMPAIGN,Large,60254,0,0.0,0,1152,46781.0,12321,0,60254,195,17,17195
980,IL,IL0274700,NEW BADEN,Medium,1527,0,0.0,0,1,763.0,763,0,1527,274,17,17274
981,IL,IL0310030,ALSIP,Medium,2361,0,0.0,0,0,2361.0,0,0,2361,310,17,17310
982,IL,IL0310120,BEDFORD PARK,Large,460,0,0.0,0,0,460.0,0,0,460,310,17,17310
983,IL,IL0310210,BERWYN,Medium,3865,0,0.0,0,0,0.0,0,3865,3865,310,17,17310
984,IL,IL0310290,IL AMERICAN-LAKE WATER COMPANY,Large,2,0,0.0,0,0,0.0,0,2,2,310,17,17310
985,IL,IL0310810,EVANSTON,Large,15120,11663,84.0,164,0,3209.0,0,0,15120,310,17,17310
986,IL,IL0310960,FRANKLIN PARK,Medium,5917,3150,0.0,0,0,2767.0,0,0,5917,310,17,17310
987,IL,IL0311020,GLENVIEW,Large,16258,4892,0.0,0,0,0.0,11366,0,16258,311,17,17311
988,IL,IL0311110,HARVEY,Medium,1000,100,0.0,0,200,500.0,200,0,1000,311,17,17311
989,IL,IL0311170,HAZEL CREST,Medium,2700,2700,0.0,0,0,0.0,0,0,2700,311,17,17311
990,IL,IL0311290,HOFFMAN ESTATES,Medium,15329,0,40.0,0,0,15289.0,0,0,15329,311,17,17311
991,IL,IL0311620,LEMONT,Medium,6342,0,0.0,0,0,0.0,0,6342,6342,311,17,17311
992,IL,IL0311830,MAYWOOD,Medium,4420,4420,0.0,0,0,0.0,0,0,4420,311,17,17311
993,IL,IL0311860,MELROSE PARK,Large,5347,0,0.0,0,0,0.0,0,5347,5347,311,17,17311
994,IL,IL0311980,MOUNT PROSPECT,Medium,11079,584,0.0,0,0,4082.0,6413,0,11079,311,17,17311
995,IL,IL0312070,NORTHBROOK,Medium,12134,2262,621.0,0,0,9251.0,0,0,12134,312,17,17312
996,IL,IL0312220,OAK LAWN,Large,3653,2219,0.0,0,0,1393.0,41,0,3653,312,17,17312
997,IL,IL0312670,RIVERSIDE,Medium,3038,0,0.0,0,0,0.0,0,3038,3038,312,17,17312
998,IL,IL0314030,ARLINGTON HEIGHTS,Medium,23284,6475,0.0,0,0,16809.0,0,0,23284,314,17,17314
999,IL,IL0314740,PARK FOREST,Medium,8772,2,0.0,0,0,1761.0,7009,0,8772,314,17,17314
1000,IL,IL0314910,TINLEY PARK,Large,23631,22,0.0,0,243,23044.0,322,0,23631,314,17,17314
1001,IL,IL0315300,NORTHWEST WATER COMMISSION,Large,5,0,0.0,0,0,0.0,0,5,5,315,17,17315
1002,IL,IL0315400,NORTHWEST SUBURBAN MUNICIPAL JAWA,Large,7,0,0.0,0,0,7.0,0,0,7,315,17,17315
1003,IL,IL0315770,HILLSIDE BERKELEY WATER COMMISSION,Medium,2,0,0.0,0,0,0.0,0,2,2,315,17,17315
1004,IL,IL0315880,LEYDEN TWSP WATER DISTRICT,Medium,2915,0,0.0,0,0,0.0,0,2915,2915,315,17,17315
1005,IL,IL0316000,CHICAGO,Large,522571,387095,0.0,42,0,16688.0,118746,0,522571,316,17,17316
1006,IL,IL0374850,SANDWICH,Medium,2870,5,160.0,0,200,2367.0,138,0,2870,374,17,17374
1007,IL,IL0430450,GLEN ELLYN,Medium,8446,500,0.0,50,60,4145.0,3691,0,8446,430,17,17430
1008,IL,IL0430551,LISLE,Medium,6341,3,0.0,3,0,6031.0,304,0,6341,430,17,17430
1009,IL,IL0434670,NAPERVILLE,Large,43843,370,0.0,0,26,43309.0,138,0,43843,434,17,17434
1010,IL,IL0435400,DU PAGE WATER COMMISSION,Large,82,0,0.0,0,0,0.0,0,82,82,435,17,17435
1011,IL,IL0490250,EFFINGHAM,Medium,5374,0,0.0,0,0,5374.0,0,0,5374,490,17,17490
1012,IL,IL0510350,VANDALIA,Medium,2578,0,0.0,883,0,291.0,1404,0,2578,510,17,17510
1013,IL,IL0550050,BENTON,Medium,3869,0,495.0,0,1000,1374.0,1000,0,3869,550,17,17550
1014,IL,IL0555100,REND LAKE INTER-CITY WATER SYSTEM,Large,1383,0,0.0,0,5,1378.0,0,0,1383,555,17,17555
1015,IL,IL0570250,CANTON,Medium,5770,775,0.0,0,0,3995.0,1000,0,5770,570,17,17570
1016,IL,IL0730650,KEWANEE,Medium,5550,233,0.0,0,0,3431.0,1886,0,5550,730,17,17730
1017,IL,IL0770150,CARBONDALE,Medium,8101,0,0.0,0,0,8101.0,0,0,8101,770,17,17770
1018,IL,IL0775100,KINKAID AREA WATER SYSTEM,Medium,1,0,0.0,0,0,0.0,0,1,1,775,17,17775
1019,IL,IL0775200,MURDALE PWD,Medium,1960,0,0.0,0,0,564.0,1396,0,1960,775,17,17775
1020,IL,IL0894070,AURORA,Large,49309,5719,0.0,0,149,19767.0,23674,0,49309,894,17,17894
1021,IL,IL0894380,ELGIN,Large,33402,11943,0.0,2,0,19342.0,2115,0,33402,894,17,17894
1022,IL,IL0950450,RIO,Small,115,0,0.0,0,0,115.0,0,0,115,950,17,17950
1023,IL,IL0950500,ST AUGUSTINE,Small,67,0,0.0,0,0,67.0,0,0,67,950,17,17950
1024,IL,IL0950550,VICTORIA,Small,166,0,0.0,0,0,166.0,0,0,166,950,17,17950
1025,IL,IL0950600,WATAGA,Small,391,0,0.0,0,0,391.0,0,0,391,950,17,17950
1026,IL,IL0950650,WILLIAMSFIELD,Small,275,0,0.0,0,0,275.0,0,0,275,950,17,17950
1027,IL,IL0955150,"CEDAR WATER COMPANY, INC.",Small,66,0,0.0,0,0,0.0,66,0,66,955,17,17955
1028,IL,IL0970500,HIGHLAND PARK,Medium,9416,998,0.0,0,0,7429.0,989,0,9416,970,17,17970
1029,IL,IL0970850,LAKE ZURICH,Medium,6879,42,0.0,0,0,6837.0,0,0,6879,970,17,17970
1030,IL,IL0971070,CENTRAL LAKE COUNTY JAWA,Large,24,0,0.0,0,0,0.0,0,24,24,971,17,17971
1031,IL,IL0971500,ROUND LAKE,Medium,5373,0,0.0,0,0,0.0,0,5373,5373,971,17,17971
1032,IL,IL0971550,ROUND LAKE BEACH,Medium,8224,0,0.0,0,4,8220.0,0,0,8224,971,17,17971
1033,IL,IL0971900,WAUKEGAN,Large,20808,7943,6000.0,0,619,4112.0,2134,0,20808,971,17,17971
1034,IL,IL0975600,GRANDWOOD PARK SUBDIVISION - LAKE CO PW,Medium,1810,0,0.0,0,0,0.0,0,1810,1810,975,17,17975
1035,IL,IL0990300,LA SALLE,Medium,3576,12,0.0,0,0,0.0,3564,0,3576,990,17,17990
1036,IL,IL0990850,PERU,Medium,5050,2146,0.0,0,141,2763.0,0,0,5050,990,17,17990
1037,IL,IL0995200,UTL INC-LAKE HOLIDAY,Medium,1902,0,0.0,0,0,1902.0,0,0,1902,995,17,17995
1038,IL,IL1110100,CARY,Medium,6430,17,2551.0,6,0,3694.0,162,0,6430,110,17,17110
1039,IL,IL1110150,CRYSTAL LAKE,Medium,13650,1313,0.0,0,0,12123.0,214,0,13650,110,17,17110
1040,IL,IL1110350,HUNTLEY,Medium,10736,11,0.0,8,0,10717.0,0,0,10736,110,17,17110
1041,IL,IL1110600,MCHENRY,Medium,8000,150,0.0,0,0,7331.0,519,0,8000,110,17,17110
1042,IL,IL1130200,BLOOMINGTON,Medium,35738,4226,3705.0,468,0,0.0,27339,0,35738,130,17,17130
1043,IL,IL1190550,HIGHLAND,Medium,5025,0,0.0,0,0,0.0,0,5025,5025,190,17,17190
1044,IL,IL1190750,MARYVILLE,Medium,4091,0,0.0,0,155,3149.0,787,0,4091,190,17,17190
1045,IL,IL1194280,COLLINSVILLE,Medium,13000,0,60.0,80,0,12665.0,195,0,13000,194,17,17194
1046,IL,IL1195030,IL AMERICAN-GRANITE CITY,Medium,16125,0,0.0,0,0,0.0,0,16125,16125,195,17,17195
1047,IL,IL1214220,CENTRALIA,Medium,7500,0,0.0,0,0,7500.0,0,0,7500,214,17,17214
1048,IL,IL1435030,IL AMERICAN-PEORIA,Large,57812,231,1.0,38,26,2123.0,55393,0,57812,435,17,17435
1049,IL,IL1450150,PINCKNEYVILLE,Medium,1817,0,0.0,0,7,1042.0,768,0,1817,450,17,17450
1050,IL,IL1495000,PIKE COUNTY PWD 1,Medium,2026,0,0.0,0,0,2026.0,0,0,2026,495,17,17495
1051,IL,IL1570100,CHESTER,Medium,2759,0,0.0,0,690,2069.0,0,0,2759,570,17,17570
1052,IL,IL1570450,RED BUD,Medium,1893,45,0.0,0,0,1648.0,200,0,1893,570,17,17570
1053,IL,IL1610140,EAST END WATER ASSOCIATION,Small,18,0,0.0,0,0,0.0,18,0,18,610,17,17610
1054,IL,IL1610410,HIGH CLIFF ESTATES,Small,224,0,0.0,0,0,224.0,0,0,224,610,17,17610
1055,IL,IL1614260,COAL VALLEY,Medium,1319,0,0.0,0,0,0.0,0,1319,1319,614,17,17614
1056,IL,IL1615550,EDGINGTON WATER DISTRICT,Small,170,0,0.0,0,0,170.0,0,0,170,615,17,17615
1057,IL,IL1615728,HILLSDALE PROPERTIES,Small,23,0,0.0,0,0,23.0,0,0,23,615,17,17615
1058,IL,IL1615780,TOWER RIDGE SUBDIVISION,Small,22,0,0.0,0,0,22.0,0,0,22,615,17,17615
1059,IL,IL1617785,OAK GROVE MHP - ROCK ISLAND COUNTY,Small,50,0,0.0,0,0,0.0,50,0,50,617,17,17617
1060,IL,IL1635040,IL AMERICAN-EAST ST LOUIS,Large,54670,789,0.0,0,0,9877.0,44004,0,54670,635,17,17635
1061,IL,IL1671200,SPRINGFIELD,Large,54803,10587,0.0,0,0,44151.0,65,0,54803,671,17,17671
1062,IL,IL1790350,MACKINAW,Medium,1349,0,0.0,50,0,704.0,595,0,1349,790,17,17790
1063,IL,IL1790750,WASHINGTON,Medium,7473,0,0.0,0,0,0.0,0,7473,7473,790,17,17790
1064,IL,IL1850200,MOUNT CARMEL,Medium,3200,0,300.0,0,0,2900.0,0,0,3200,850,17,17850
1065,IL,IL1870150,MONMOUTH,Medium,3960,520,0.0,0,0,160.0,3280,0,3960,870,17,17870
1066,IL,IL1970200,CHANNAHON,Medium,3945,0,0.0,0,0,3945.0,0,0,3945,970,17,17970
1067,IL,IL1970450,JOLIET,Large,49681,1072,6602.0,0,1,25155.0,16851,0,49681,970,17,17970
1068,IL,IL1974151,IL AMERICAN-WEST SUBURBAN,Large,21416,0,0.0,0,0,0.0,0,21416,21416,974,17,17974
1069,IL,IL2010300,ROCKFORD,Large,68245,13685,0.0,0,0,30100.0,24460,0,68245,010,17,17010
1070,IL,IL2010450,IL AMERICAN-SOUTH BELOIT,Medium,3392,23,0.0,0,0,2218.0,1151,0,3392,010,17,17010
1071,IL,IL3138412,RIVER OF LIFE CHURCH,Small,1,0,0.0,0,0,1.0,0,0,1,138,17,17138
1072,IL,IL3161232,CAPTAIN JAMES A LOVELL FHCC,Medium,13,0,0.0,0,0,0.0,0,13,13,161,17,17161
1073,IN,IN2120119,MOUNT HOPE CHAPEL,Small,1,0,0.0,0,0,0.0,0,1,1,120,18,18120
1074,IN,IN2460073,LAPORTE COUNTY LIBRARY - UNION MILLS,Small,1,0,0.0,0,0,1.0,0,0,1,460,18,18460
1075,IN,IN5202020,FORT WAYNE - 3 RIVERS FILTRATION PLANT,Large,106173,15000,500.0,0,0,87673.0,3000,0,106173,202,18,18202
